timestamp,src_ip,dst_ip,protocol,length
2025-10-07T07:53:56.776236Z,192.168.1.2,127.0.0.1,UDP,525
2025-10-07T07:53:56.776236Z,10.0.0.5,10.0.0.5,TCP,589
2025-10-07T07:53:56.776236Z,192.168.1.2,192.168.1.2,UDP,742
2025-10-07T07:53:56.776236Z,192.168.1.2,192.168.1.2,UDP,596
2025-10-07T07:53:56.776236Z,10.0.0.5,192.168.1.2,TCP,707
2025-10-07T07:53:56.776236Z,192.168.1.10,192.168.1.10,UDP,417
2025-10-07T07:53:56.776236Z,192.168.1.10,10.0.0.5,UDP,930
2025-10-07T07:53:56.776236Z,127.0.0.1,192.168.1.2,ICMP,387
2025-10-07T07:53:56.776236Z,192.168.1.2,127.0.0.1,TCP,582
2025-10-07T07:53:56.776236Z,10.0.0.5,192.168.1.2,ICMP,253
2025-10-07T08:51:12.232294Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.232294Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.232294Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.235661Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.236607Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.237118Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.237118Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.239129Z,127.0.0.1,127.0.0.1,TCP,44
