window_start,window_end,pkts,bytes,avg_pkt_size,unique_srcs,unique_dsts,tcp_ratio,udp_ratio,icmp_ratio,entropy_src,label
2025-10-11T09:18:36+00:00,2025-10-11T09:18:37+00:00,532,196713,369.7612781954887,141,8,0.0771,0.3571,0.0,6.802,1
2025-10-11T09:18:37+00:00,2025-10-11T09:18:38+00:00,227,44888,197.7444933920705,43,8,0.0308,0.2996,0.0044,5.1835,1
2025-10-11T09:18:38+00:00,2025-10-11T09:18:39+00:00,404,163425,404.51732673267327,68,11,0.1955,0.2748,0.0,4.7719,1
2025-10-11T09:18:39+00:00,2025-10-11T09:18:40+00:00,255,50976,199.9058823529412,46,7,0.0078,0.3137,0.0,5.2566,1
2025-10-11T09:18:40+00:00,2025-10-11T09:18:41+00:00,202,26724,132.2970297029703,39,6,0.0,0.3416,0.005,4.9789,1
2025-10-11T09:18:41+00:00,2025-10-11T09:18:42+00:00,280,41236,147.27142857142857,43,5,0.0,0.4107,0.0,4.8176,1
2025-10-11T09:18:42+00:00,2025-10-11T09:18:43+00:00,210,25210,120.04761904761904,38,5,0.0,0.4048,0.0,4.5965,1
2025-10-11T09:18:43+00:00,2025-10-11T09:18:44+00:00,263,85000,323.1939163498099,71,8,0.0152,0.3536,0.0,6.0086,1
2025-10-11T09:18:44+00:00,2025-10-11T09:18:45+00:00,368,274657,746.3505434782609,138,7,0.1929,0.3696,0.0,6.3836,1
2025-10-11T09:18:45+00:00,2025-10-11T09:18:46+00:00,476,180943,380.13235294117646,127,5,0.0,0.3529,0.0,6.8074,1
2025-10-11T09:18:46+00:00,2025-10-11T09:18:47+00:00,367,75020,204.4141689373297,41,6,0.0,0.346,0.0,4.4587,1
2025-10-11T09:18:47+00:00,2025-10-11T09:18:48+00:00,540,299802,555.1888888888889,204,10,0.0796,0.4074,0.0,7.424,1
2025-10-11T09:18:48+00:00,2025-10-11T09:18:49+00:00,478,160967,336.7510460251046,103,8,0.0042,0.364,0.0,6.3102,1
2025-10-11T09:18:49+00:00,2025-10-11T09:18:50+00:00,318,88501,278.3050314465409,76,9,0.0126,0.4182,0.0,5.7426,1
2025-10-11T09:18:50+00:00,2025-10-11T09:18:51+00:00,323,117828,364.79256965944273,49,11,0.2539,0.2663,0.0,4.0901,1
2025-10-11T09:18:51+00:00,2025-10-11T09:18:52+00:00,278,47095,169.4064748201439,45,7,0.0072,0.3489,0.0,4.6832,1
2025-10-11T09:18:52+00:00,2025-10-11T09:18:53+00:00,250,39631,158.524,41,6,0.0,0.372,0.0,4.7476,1
2025-10-11T09:18:53+00:00,2025-10-11T09:18:54+00:00,188,30931,164.52659574468086,40,8,0.016,0.3351,0.0,5.0821,1
2025-10-11T09:18:54+00:00,2025-10-11T09:18:55+00:00,299,119636,400.1204013377927,89,9,0.0334,0.4314,0.0,6.0998,1
2025-10-11T09:18:55+00:00,2025-10-11T09:18:56+00:00,230,170524,741.408695652174,115,5,0.0087,0.5087,0.0,6.7627,1
2025-10-11T09:18:56+00:00,2025-10-11T09:18:57+00:00,352,260059,738.8039772727273,128,8,0.1903,0.3665,0.0,6.1707,1
2025-10-11T09:18:57+00:00,2025-10-11T09:18:58+00:00,613,93597,152.6867862969005,80,6,0.0,0.2773,0.0,5.9287,1
2025-10-11T09:18:58+00:00,2025-10-11T09:18:59+00:00,275,49106,178.56727272727272,38,7,0.0,0.3564,0.0,4.4877,1
2025-10-11T09:18:59+00:00,2025-10-11T09:19:00+00:00,331,97709,295.19335347432025,84,6,0.0,0.3837,0.0,6.0702,1
2025-10-11T09:19:00+00:00,2025-10-11T09:19:01+00:00,147,40663,276.6190476190476,57,5,0.0,0.415,0.0,5.7929,1
